%time,field.data
1557352562463432041,350062
1557352562513461943,350058
1557352562563574168,350051
1557352562613537531,350043
1557352562663463459,350038
1557352562713553182,350035
1557352562764101000,350034
1557352562814101833,350034
1557352562864561600,350034
1557352562913882825,350034
1557352562964365080,350034
1557352563014490316,350034
1557352563064464530,350038
1557352563114452991,350048
1557352563164330833,350054
1557352563214705238,350068
1557352563265083396,350087
1557352563315271437,350108
1557352563365520992,350132
1557352563415434057,350161
1557352563466498659,350195
1557352563516127232,350233
1557352563566119297,350274
1557352563616015676,350317
1557352563667051749,350368
1557352563717117499,350418
1557352563767160371,350473
1557352563816431784,350535
1557352563866381305,350605
1557352563916625446,350673
1557352563966897792,350739
1557352564016142441,350804
1557352564066529467,350878
1557352564116943814,350954
1557352564167159717,351033
1557352564217581511,351114
1557352564267602149,351199
1557352564317604852,351280
1557352564368120667,351359
1557352564417960269,351442
1557352564468769122,351526
1557352564518424296,351614
1557352564567681559,351705
1557352564617953451,351798
1557352564667900925,351888
1557352564717947194,351985
1557352564768184539,352079
1557352564818415546,352174
1557352564868375924,352275
1557352564918302823,352366
1557352564968430442,352465
1557352565019727663,352581
1557352565069536166,352678
1557352565119981048,352774
1557352565170631679,352874
1557352565220118084,352967
1557352565270475937,353066
1557352565320398512,353167
1557352565369962464,353268
1557352565420350819,353376
1557352565470136018,353474
1557352565520418485,353570
1557352565570105059,353672
1557352565619890065,353770
1557352565669754865,353872
1557352565720000442,353978
1557352565769847911,354073
1557352565819798525,354171
1557352565869959389,354282
1557352565920135853,354386
1557352565970280330,354484
1557352566020310752,354593
1557352566070164739,354700
1557352566120456050,354801
1557352566170884230,354901
1557352566220745117,355000
1557352566270709137,355098
1557352566320957632,355201
1557352566371074532,355302
1557352566421983728,355392
1557352566471791895,355483
1557352566521723810,355577
1557352566571409467,355664
1557352566622567735,355739
1557352566671999931,355823
1557352566721736304,355915
1557352566771742376,356006
1557352566822371588,356092
1557352566873672040,356187
1557352566923215036,356277
1557352566973130694,356381
1557352567023151296,356476
1557352567073259126,356559
1557352567123169071,356642
1557352567173332572,356727
1557352567223142385,356820
1557352567273151496,356920
1557352567323801905,357013
1557352567373757429,357103
1557352567424459755,357196
1557352567473880100,357292
1557352567523892630,357379
1557352567574185944,357477
1557352567623985411,357577
1557352567674372141,357668
1557352567723844390,357763
1557352567774390698,357862
1557352567824535979,357965
1557352567874335805,358060
1557352567924103027,358155
1557352567974249798,358265
1557352568023859273,358372
1557352568074558267,358466
1557352568124564050,358575
1557352568174314431,358685
1557352568224549937,358780
1557352568274209755,358877
1557352568324516622,358980
1557352568374365771,359082
1557352568424583650,359178
1557352568474436139,359274
